Incident/Oil Spill Ref. No.  ,e-PAGE code,Facility/ Equipment  ,  Facility Category  ,Location,Closeby Facility,Area  ,LGA     ,State      ,   Lat (N)   ,   Long (E)   ,Date of Incident/Spill,Date of Incident/Spill Observed ,Time of Incident/Spill,Time of Incident/Spill Observed,Date spill was stopped,Date spill was contained,Time spill was contained, OML/OPL ,Incident/Spill cause       ,Incident/ Spill Category    ,Description of Incident/Spill causes,Incident/Spill responsibility,Est. Qty. Spilled (bbls),Est. Qty. Recovered(bbls)
2013/OS/114,,Ebocha 5T flowline,FLOWLINE,Obrikom,EBOCHA,LAR,Ogba/Ndoni/Egbema,Rivers State,N 05° 26' 52.9'',E 006° 38' 54.1'',26/03/2013,26/03/2013,,18:59,26/03/2013,,OML 61,,Hacksaw cut,Sabotage,50 mm Hacksaw cut on facility..,Third party,2,0
2013/OS/115,,TEBIDABA F/S,FLOWSTATION,Tebidaba,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 33' 20.5'',E 005° 55' 17.4'',26/03/2013,26/03/2013,,18:08,26/03/2013,,OML 63,,Structure failure,Operation control,Cracked bundwall..,Company,3,0
2013/OS/116,,Ebocha 13Ls flowline,FLOWLINE,Obrikom,OB/OB,LAR,Ogba/Ndoni/Egbema,Rivers State,N 05° 27' 18.6'',E 006° 41' 28.4'',27/03/2013,27/03/2013,,18:59,27/03/2013,,OML 60,,Others,Sabotage,cutting and carting away of flowline..,Third party,5,0
2013/OS/119,,Ebocha 4Ss flowline,FLOWLINE,Ebocha,EBOCHA,LAR,Ogba/Ndoni/Egbema,Rivers State,N 05° 27' 17.8'',E 006° 41' 26.3'',27/03/2013,27/03/2013,,18:59,27/03/2013,,OML 61,,Hacksaw cut,Sabotage,38mm Hacksaw cut at 1 O'clock position..,Third party,1,0
2013/OS/120,,Obiafu 31Ls flowline,FLOWLINE,Ebocha,EBOCHA,LAR,Ogba/Ndoni/Egbema,Rivers State,N 05° 26' 53.0'',E 006° 37' 43.7'',27/03/2013,27/03/2013,,18:59,27/03/2013,,OML 60,,Hacksaw cut,Sabotage,14mm hacksaw cut observed on flowline..,Third party,67,0
2013/OS/122,,Oshie 11 Ss flowline,FLOWLINE,Akaraolu,OSHIE,LAR,Ahoada West,Rivers State,N 05° 06' 02.3'',E 006° 29' 48.9'',30/03/2013,30/03/2013,,10:20,30/03/2013,,OML 61,,Hacksaw cut,Sabotage,60mm hacksaw cut at 3 0'clock position on the flowline..,Third party,5,0
2013/OS/123,,"24"" Ogoda/Brass Pipeline",PIPELINE (OIL),Fantuo,BRASS TERMINAL,SAR,Brass,Bayelsa State,N 04° 20' 49.3'',E 006° 17' 52.2'',30/03/2013,30/03/2013,,16:05,30/03/2013,,OML 63,,Oil theft,Sabotage,"3 (nos) 6"" valve installed with a hose connection on one of the valves by unknown.",Third party,1.26,0.94
2013/OS/125,,Obiafu 31Ls flowline,FLOWLINE,Ebocha,OB/OB,LAR,Ogba/Ndoni/Egbema,Rivers State,N 05° 26' 53.1'',E 006° 40' 19.4'',1/4/2013,1/4/2013,,10:39,1/4/2013,,OML 61,,Hacksaw cut,Sabotage,,Third party,8,2
2013/OS/129,,Umuoru 5T flowline,FLOWLINE,Omoku,OB/OB,LAR,Ogba/Ndoni/Egbema,Rivers State,N 05° 23' 13.6'',E 006° 33' 48.2'',1/4/2013,1/4/2013,,10:39,1/4/2013,,OML 61,,Hacksaw cut,Sabotage,"39mm hacksaw cut at 11 0'clock position on the flowline.
.",Third party,2,0
2013/OS/132,,"6"" Taylor Creek 2Ls flowline",FLOWLINE,Ikarama,OSHIE,LAR,Yenagoa,Bayelsa State,N 05° 10' 18.5'',E 006° 26' 37.7'',3/4/2013,3/4/2013,,3:15,3/4/2013,,OML 61,,Hacksaw cut,Sabotage,,Third party,25,0
2013/OS/133,,"24"" Ogoda/Brass Pipeline",PIPELINE (OIL),Ewoama,BRASS TERMINAL,SAR,Brass,Bayelsa State,"
N 04° 19' 53.6''","
E 006° 16' 57.9''",4/4/2013,4/4/2013,,10:07,4/4/2013,,OML 63,,Oil theft,Sabotage,"2 (nos) Valves installed on pipe with 6"" pipe connection by unknown person (s)..",Third party,4,3.5
2013/OS/134,,"24"" Ogoda/Brass Pipeline",PIPELINE (OIL),Ewoama,BRASS TERMINAL,SAR,Brass,Bayelsa State,N 04° 19' 53.1'',E 006° 16' 57.5'',4/4/2013,4/4/2013,,10:07,4/4/2013,,OML 63,,Oil theft,Sabotage,"2 (nos) valve installed on pipe with 6"" pipe connection by unknown person (s).",Third party,4,3.5
2013/OS/135,,Obiafu 14Ls flowline,FLOWLINE,Omoku,EBOCHA,LAR,Ogba/Ndoni/Egbema,Rivers State,N 05° 23' 14.7'',E 006° 33' 41.9'',3/4/2013,3/4/2013,,10:33,3/4/2013,,OML 61,,Corrosion,Operation control,"1 mm pin hole at 7 O' Clock position.
.",Company,35,0
2013/OS/142,,Ebocha 20T flowline,FLOWLINE,Obrikom,EBOCHA,LAR,Ogba/Ndoni/Egbema,Rivers State,N 05° 26' 51.6'',E 006° 40' 25.9'',1/4/2013,1/4/2013,,12:05,5/4/2013,,OML 61,,Hacksaw cut,Sabotage,"6mm  drilled hole observed on flowline.
.",Third party,1,0
2013/OS/148,,Taylor Creek 2Ss flowline,FLOWLINE,Akinima,OSHIE,LAR,Ahoada West,Rivers State,N 05° 06' 36.0'',E 006° 28' 28.8'',12/4/2013,12/4/2013,,9:28,12/4/2013,,OML 61,,Hacksaw cut,Sabotage,,Third party,1,0
2013/OS/151,,Umuoru 5T flowline,FLOWLINE,Obiafu,EBOCHA,LAR,Ogba/Ndoni/Egbema,Rivers State,N 05° 23' 13.3'',E 006° 33' 58.9'',13/04/2013,13/04/2013,,15:43,13/04/2013,,OML 61,,Corrosion,Operation control,"Pitting corrosion  at 6 0'clock position.
.",,49,32
2013/OS/157,,Ebocha 1T flowline,FLOWLINE,Ebocha,EBOCHA,LAR,Ogba/Ndoni/Egbema,Rivers State,N 05° 27' 15.6'',E 006° 41' 28.5'',6/4/2013,6/4/2013,,10:49,6/4/2013,,OML 61,,Hacksaw cut,Sabotage,,Third party,3,0
2013/OS/161,,Tebidaba well 11 TBG flowline,FLOWLINE,Olugbobiri,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 33' 36.7'',E 005° 55' 05.5'',15/04/2013,15/04/2013,,15:16,15/04/2013,,OML 63,,Others,Sabotage,"About 2 kilometer of flowline was cut and carted away.
.",Third party,6,0
2013/OS/168,,Oshie 6Ls flowline,FLOWLINE,Oshie,OSHIE,LAR,Ahoada West,Rivers State,N 05° 06' 02.4'',E 006° 29' 42.7'',18/04/2013,18/04/2013,,17:05,18/04/2013,,OML 61,,Equipment failure,Operation control,,Company,198,180
2013/OS/170,,MV Ibimor Beke Vessel,BRASS TERMINAL,Brass,BRASS TERMINAL,SAR,Brass,Bayelsa State,N 04° 18' 22.5'',E 006° 14' 22.4'',23/04/2013,23/04/2013,,9:20,23/04/2013,,OML 63,,Accident,Operation control,MV Ibimor Beke vessel was hit and punctured by a barge being towed by tug boats spilling its content..,Company,33.9,32
2013/OS/174,,Ebocha 5T flowline,FLOWLINE,Ebocha,EBOCHA,LAR,Ogba/Ndoni/Egbema,Rivers State,N 05° 26' 49.3'',E 006° 39' 35.7'',24/04/2013,24/04/2013,,11:39,24/04/2013,,OML 60,,Drilled hole,Sabotage,,Third party,2,0
2013/OS/182,,Obiafu 40T flowline,FLOWLINE,Obiafu,OB/OB,LAR,Ogba/Ndoni/Egbema,Rivers State,N 05° 25' 25.6'',E 006° 35' 04.1'',28/04/2013,28/04/2013,,11:30,28/04/2013,,OML 61,,Equipment failure,Operation control,"Flange failure due to high pressure.
.",,1.5,0
2013/OS/185,,Obiafu 4Ls flowline,FLOWLINE,Obiafu,OB/OB,LAR,Ogba/Ndoni/Egbema,Rivers State,N 05° 24' 06.8'',E 006° 37' 28.0'',2/5/2013,2/5/2013,,7:53,2/5/2013,,OML 61,,Equipment failure,Operation control,Clamp failure.,,26.42,20
2013/OS/187,,Obiafu 6T flowline,FLOWLINE,Obiafu,OB/OB,LAR,Ogba/Ndoni/Egbema,Rivers State,"
N 05° 25' 20.7''","
E 006° 35' 04.1''",3/5/2013,3/5/2013,,11:00,3/5/2013,,OML 61,,Equipment failure,Operation control,"Failure of check vavle & flange ring joint.
.",Company,4,0
2013/OS/188,,"4"" Okpai 12Ss flowline",FLOWLINE,Beneku,IPP OKPAI ,LAR,Ndokwa East,Delta State,N 05° 42' 22.3'',E 006° 32' 18.6'',3/5/2013,3/5/2013,,3:00,5/5/2013,,OML 60,,Equipment failure,Operation control,Clamp failure.,Company,7,0
2013/OS/189,,"4"" Okpai 12Ss flowline",FLOWLINE,Beneku,IPP OKPAI ,LAR,Ndokwa East,Delta State,N 05° 40' 32.9'',E 006° 30' 55.3'',3/5/2013,3/5/2013,,3:15,5/5/2013,,OML 60,,Hacksaw cut,Sabotage,,Third party,2,0
2013/OS/194,,Oshie 14Ls flowline,FLOWLINE,Oshie,OSHIE,LAR,Ahoada West,Rivers State,N 05° 06' 12.8'',E 006° 29' 55.0'',4/5/2013,4/5/2013,,7:40,4/5/2013,,OML 61,,Operational error,Operation control,"Opening of the flowline valve from the wellhead by unknown person/s resulting to a spill from a previously cut section of the flowline.
.",Company,10,TBE
2013/OS/195,,Mgbede 21T wellhead,WELL HEAD,Ebocha,EBOCHA,LAR,Ogba/Ndoni/Egbema,Rivers State,N 05° 27' 00.7'',E 006° 41' 32.9'',5/5/2013,5/5/2013,,11:30,5/5/2013,,OML 61,,Others,Sabotage,Bolts on the SSV at the wellhead were loosened by unknown person (s)..,Third party,25,20
2013/OS/197,,"4"" Ashaka 4Ls flowline",FLOWLINE,Beneku,KWALE,LAR,Ndokwa East,Delta State,N 05° 39' 46.3'',E 006° 29' 46.4'',5/5/2013,5/5/2013,,14:15,5/5/2013,,OML 60,,Others,Sabotage,Cutting & carting away of a section of the flowline by unknown person (s)..,Third party,2.5,0
2013/OS/198,,"24"" Ogoda/Brass Pipeline",PIPELINE (OIL),Ewoama,BRASS TERMINAL,SAR,Brass,Bayelsa State,N 04° 19' 57.0'',E 006° 17' 01.2'',5/5/2013,5/5/2013,,10:45,5/5/2013,,OML 63,,Oil theft,Sabotage,Valve installed on pipeline by unknown person (s)..,Third party,7,2
2013/OS/199,,Oshie 15Ss flowline,FLOWLINE,Oshie,OSHIE,LAR,Ahoada West,Rivers State,N 05° 05' 57.0'',E 006° 29' 51.3'',5/5/2013,5/5/2013,,7:30,5/5/2013,,OML 61,,Hacksaw cut,Sabotage,,Third party,1,0
2013/OS/204,,"10"" Irri/Kwale Pipeline",PIPELINE (OIL),Okoh-Igbuku,IRRI,LAR,Ndokwa East,Delta State,N 05° 36' 28.5'',E 006° 27' 42.8'',6/5/2013,6/5/2013,,16:15,6/5/2013,,OML 60,,Oil theft,Sabotage,"3"" Valve installed on pipe by unknown person (s)..",Third party,4,0
2013/OS/205,,"10"" Irri/Kwale Pipeline",PIPELINE (OIL),Okoh-Igbuku,KWALE,LAR,Ndokwa East,Delta State,N 05° 36' 28.7'',E 006° 27' 43.1'',6/5/2013,6/5/2013,,16:15,,,,,TBD,TBD,,,TBE,
2013/OS/206,,Taylor Creek 2Ss flowline,FLOWLINE,Kalaba,OSHIE,LAR,Yenagoa,Bayelsa State,N 05° 10' 02.0'',E 006° 26' 31.7'',7/5/2013,7/5/2013,,7:27,,,OML 61,,Hacksaw cut,Sabotage,,Third party,10.064,0
2013/OS/217,,"10"" Clough Creek/Tebidaba Pipeline",PIPELINE (OIL),Ekeremor,CLOUGH CREEK,SAR,Southern Ijaw,Bayelsa State,N 04° 50' 36.4'',E 005° 41' 41.1'',10/5/2013,10/5/2013,,16:50,10/5/2013,,OML 63,,Equipment failure,Operation control,External corrosion of the pipe..,Contractor,40,0
2013/OS/218,,Kwale 14Ls location,Location,Beneku,KWALE,LAR,Ndokwa East,Delta State,N 05° 39' 38.0'',E 006° 30' 35.6'',12/5/2013,12/5/2013,,16:40,12/5/2013,,OML 61,,Operational error,Operation control,Rig activity..,Contractor,8,0
2013/OS/219,,"14"" Akri/EOC Pipeline",PIPELINE (OIL),Mmahu,AKRI,LAR,Ohaji/Egbema,Imo State,N 05° 33' 12.6'',E 006° 42' 32.5'',12/5/2013,12/5/2013,,16:17,12/5/2013,,OML 61,,Hacksaw cut,Sabotage,,Third party,10,4
2013/OS/223,,"24"" Ogoda/Brass Pipeline",PIPELINE (OIL),Egeinkiri,BRASS TERMINAL,SAR,Nembe,Bayelsa State,"
N 04° 24' 28.0''","
E 006° 20' 57.5''",15/05/2013,15/05/2013,,14:20,15/05/2013,,OML 63,,Oil theft,Sabotage,"10"" valve installed on pipeline and branched into two with 6"" pipe connection by unknown person (s)..",Third party,7,3
