Incident/Oil Spill Ref. No.  ,e-PAGE code,Facility/ Equipment  ,  Facility Category  ,Location,Closeby Facility,Area  ,LGA     ,State      ,   Lat (N)   ,   Long (E)   ,Date of Incident/Spill,Date of Incident/Spill Observed ,Time of Incident/Spill,Time of Incident/Spill Observed,Date spill was stopped,Date spill was contained,Time spill was contained, OML/OPL ,Incident/Spill cause       ,Incident/ Spill Category    ,Description of Incident/Spill causes,Incident/Spill responsibility,Est. Qty. Spilled (bbls),Est. Qty. Recovered(bbls)
2013/OS/299,,Ebocha 5T flowline,FLOWLINE,Obrikom,OB/OB,LAR,Ogba/Ndoni/Egbema,Rivers State,N 05° 26' 49.0'',E 006° 39' 35.7'',20/06/2013,20/06/2013,,19:06,20/06/2013,,OML 61,,Drilled hole,Sabotage,,,2,0
2013/OS/300,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Baberegbene,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 30' 53.1'',E 006° 01' 42.2'',22/06/2013,22/06/2013,,13:05,,,,,Oil theft,Sabotage,4' Valve installed on pipe by unknown person (s)..,Third party,TBE,
2013/OS/301,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Baberegbene,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 30' 45.7'',E 006° 01' 42.2'',22/06/2013,22/06/2013,,13:45,,,,,Oil theft,Sabotage,"3"" Valve installed on pipe by unknown person (s)..",Third party,TBE,
2013/OS/302,,Ebocha 7Ls flowline,FLOWLINE,Obrikom,OB/OB,LAR,Ogba/Ndoni/Egbema,Rivers State,N 05° 26' 47.9'',E 006° 39' 14.7'',22/06/2013,22/06/2013,,18:33,22/06/2013,,OML 61,,Drilled hole,Sabotage,,Third party,5,1
2013/OS/304,,Taylor Creek 2Ss flowline,FLOWLINE,Kalaba,OSHIE,LAR,Yenagoa,Bayelsa State,N 05° 09' 27.2'',E 006° 26' 21.3'',22/06/2013,22/06/2013,,12:39,,,,,Hacksaw cut,Sabotage,,Third party,TBE,
2013/OS/305,,Taylor Creek 2Ss flowline,FLOWLINE,Kalaba,OSHIE,LAR,Yenagoa,Bayelsa State,N 05° 09' 11.5'',E 006° 26' 26.4'',22/06/2013,22/06/2013,,12:39,,,,,Hacksaw cut,Sabotage,,Third party,TBE,
2013/OS/306,,Taylor Creek 1T flowline,FLOWLINE,Kalaba,OSHIE,LAR,Yenagoa,Bayelsa State,N 05° 09' 11.5'',E 006° 26' 33.3'',22/06/2013,22/06/2013,,11:30,,,,,Hacksaw cut,Sabotage,,Third party,TBE,
2013/OS/308,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Baberegbene,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 30' 54.5'',E 006° 01' 39.9'',23/06/2013,23/06/2013,,11:25,,,,,Oil theft,Sabotage,"3"" Valve installed on pipe by unknown person (s)..",Third party,TBE,
2013/OS/309,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Baberegbene,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 30' 53.4'',E 006° 01' 41.4'',23/06/2013,23/06/2013,,13:35,,,,,Oil theft,Sabotage,"3"" Valve installed on pipe unknown person (s).",Third party,TBE,
2013/OS/310,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Baberegbene,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 31' 02.9'',E 006° 01' 26.8'',24/06/2013,24/06/2013,,2:45,,,,,Oil theft,Sabotage,"3"" Valve installed on pipe by unknown person (s)..",Third party,TBE,
2013/OS/311,,"18"" Obama/Brass Pipeline",PIPELINE (OIL),Adikiama,OBAMA,SAR,Nembe,Bayelsa State,N 04° 31' 32.6'',E 006° 15' 24.3'',24/06/2013,24/06/2013,,9:45,,,,,Oil theft,Sabotage,"6"" Valve installed on pipe with pipe connection by unknown person (s)..",Third party,TBE,
2013/OS/315,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Kamborro,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 32' 52.9'',E 005° 56' 26.9'',25/06/2013,25/06/2013,,13:45,,,,,Oil theft,Sabotage,"2 (nos) - 6"" valves installed on pipe by unknown person (s)..",Third party,TBE,
2013/OS/319,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Oyeregbene,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,"
N 04° 30' 06.4''","
E 006° 03' 49.8''",27/06/2013,27/06/2013,,13:45,,,,,Oil theft,Sabotage,"3"" & 4"" Valves installed on pipe by unknown person (s)..",Third party,TBE,
2013/OS/326,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Mbikiba,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 29' 26.3'',E 006° 05' 14.0'',29/06/2013,29/06/2013,,13:35,,,,,Oil theft,Sabotage,"4"" ball valve installed on pipe by unknown person (s)..",Third party,TBE,
2013/OS/328,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Oyeregbene,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 30' 24.1'',E 006° 03' 01.4'',30/06/2013,30/06/2013,,11:05,,,,,Oil theft,Sabotage,"3"" Valve installed on pipe by unknown person (s)..",Third party,TBE,
2013/OS/329,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Kalatoru,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 32' 36.5'',E 005° 57' 26.3'',2/7/2013,2/7/2013,,15:00,,,,,Oil theft,Sabotage,"6"" valve installed on pipe by unknown person (s)..",Third party,TBE,
2013/OS/331,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Igbematoru,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 31' 41.8'',E 006° 00' 12.6'',3/7/2013,3/7/2013,,17:29,,,,,Oil theft,Sabotage,"6"" Valve installed on pipe with 4"" pipe connection by unknown person (s)..",Third party,TBE,
2013/OS/332,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Igbematoru,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 32' 13.0'',E 005° 58' 48.0'',3/7/2013,3/7/2013,,15:30,,,,,Oil theft,Sabotage,"3"" Valve installed on pipe by unknown person (s)..",Third party,TBE,
2013/OS/334,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Igbematoru,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 32' 13.5'',E 005° 58' 46.5'',5/7/2013,5/7/2013,,16:30,,,,,Oil theft,Sabotage,"2"" valve installed on pipe by unknown person (s)..",Third party,TBE,
2013/OS/335,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Igbematoru,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 32' 05.5'',E 005° 59' 14.6'',5/7/2013,5/7/2013,,17:00,,,,,Oil theft,Sabotage,"3"" Valve installed on pipe by unknown person (s)..",Third party,TBE,
2013/OS/336,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Oyeregbene,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 30' 17.7'',E 006° 03' 23.8'',5/7/2013,5/7/2013,,17:30,,,,,Oil theft,Sabotage,"3"" Valve installed on pipe by unknown person (s)..",Third party,TBE,
2013/OS/339,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Baberegbene,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,"
N 04° 31' 07.7''","
E 006° 01' 19.0''",8/7/2013,8/7/2013,,13:38,,,,,Oil theft,Sabotage,"2 (nos) - 3"" Valves installed on pipe by unknown person (s)..",Third party,TBE,
2013/OS/340,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Baberegbene,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 30' 50.8'',E 006° 01' 45.7'',8/7/2013,8/7/2013,,12:00,,,,,Oil theft,Sabotage,"4"" Valve installed on pipe by unknown person (s).",Third party,TBE,
2013/OS/341,,Taylor Creek 2Ss flowline,FLOWLINE,Ikarama,OSHIE,LAR,Yenagoa,Bayelsa State,N 05° 09' 50.0'',E 006° 26' 23.3'',9/7/2013,9/7/2013,,8:00,,,,,Hacksaw cut,Sabotage,,Third party,TBE,
2013/OS/343,,Tank 11 Tank Farm,BRASS TERMINAL,Brass,BRASS TERMINAL,SAR,Brass,Bayelsa State,N 04° 18' 00.0'',E 006° 14' 47.0'',9/7/2013,9/7/2013,,16:00,,,,,Operational error,Operation control,(Overflow of AGO from the Tank.,Company,TBE,
2013/OS/344,,"24"" Ogoda/Brass Pipeline",PIPELINE (OIL),Ewoama,BRASS TERMINAL,SAR,Brass,Bayelsa State,N 04° 19' 24.7'',E 006° 16' 23.7'',10/7/2013,10/7/2013,,11:10,,,,,Oil theft,Sabotage,"(10"" Valve installed on the pipeline and branched into 2 - (nos) 8"" pipe by unknown person (s).).",Third party,TBE,
2013/OS/347,,"10"" Clough Creek/Tebidaba Pipeline",PIPELINE (OIL),Azagbene,CLOUGH CREEK,SAR,Ekeremor,Bayelsa State,N 04° 48' 20.9'',E 005° 44' 06.9'',11/7/2013,11/7/2013,,11:10,,,,,Oil theft,Sabotage,"2"" Valve installed on pipe by unknown person (s)..",Third party,TBE,
2013/OS/348,,"10"" Clough Creek/Tebidaba Pipeline",PIPELINE (OIL),Azagbene,CLOUGH CREEK,SAR,Ekeremor,Bayelsa State,N 04° 48' 44.8'',E 005° 43' 44.0'',11/7/2013,11/7/2013,,12:00,,,,,Oil theft,Sabotage,"3"" Valve installed on pipe by unknown person (s)..",Third party,TBE,
2013/OS/349,,Oshie 2Ls flowline,FLOWLINE,Akinima,OSHIE,LAR,Ahoada West,Rivers State,N 05° 06' 13.9'',E 006° 28' 40.3'',12/7/2013,12/7/2013,,16:06,,,,,TBD,TBD,,,TBE,
2013/OS/350,,Oshie 15Ss flowline,FLOWLINE,Akinima,OSHIE,LAR,Ahoada West,Rivers State,N 05° 06' 11.6'',E 006° 28' 45.6'',13/07/2013,13/07/2013,,18:30,,,,,Hacksaw cut,Sabotage,,Third party,TBE,
2013/OS/351,,"10"" Clough Creek/Tebidaba Pipeline",PIPELINE (OIL),Azagbene,CLOUGH CREEK,SAR,Ekeremor,Bayelsa State,"
N 04° 48' 58.9''","
E 005° 43' 14.1''",13/07/2013,13/07/2013,,13:00,,,,,Oil theft,Sabotage,"2 (nos) of 4"" Valve installed on pipe by unknown person (s).",Third party,TBE,
2013/OS/352,,"10"" Clough Creek/Tebidaba Pipeline",PIPELINE (OIL),Gbaraun,CLOUGH CREEK,SAR,Southern Ijaw,Bayelsa State,"
N 04° 47' 25.5''","
E 005° 46' 27.3''",13/07/2013,13/07/2013,,14:00,,,,,Oil theft,Sabotage,"2 (nos) 2"" Valve installed on pipe by unknown person (s)..",Third party,TBE,
2013/OS/358,,"10"" Clough Creek/Tebidaba Pipeline",PIPELINE (OIL),Gbaraun,CLOUGH CREEK,SAR,Southern Ijaw,Bayelsa State,"
N 04° 45' 00.1''","
E 005° 49' 19.0''",16/07/2013,16/07/2013,,14:00,,,,,Oil theft,Sabotage,"3"" Valve and 4"" Flange installed on pipe by unknown person (s)..",Third party,TBE,
2013/OS/366,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Igbematoru,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 31' 26.1'',E 006° 00' 42.4'',20/07/2013,20/07/2013,,16:30,,,,,Oil theft,Sabotage,"3"" Valve installed with pipe connection by unknown person (s)..",Third party,TBE,
2013/OS/368,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Baberegbene,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 31' 09.4'',E 006° 01' 16.0'',21/07/2013,21/07/2013,,11:05,,,,,Oil theft,Sabotage,"3"" Valve installed on pipe by unknown person (s)..",Third party,TBE,
2013/OS/369,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Lasukugbene,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 30' 32.3'',E 006° 02' 25.4'',21/07/2013,21/07/2013,,14:25,,,,,TBD,TBD,,,TBE,
2013/OS/370,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Kalatoru,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,"
N 04° 32' 34.9''","
E 005° 57' 30.0''",22/07/2013,22/07/2013,,10:14,,,,,Oil theft,Sabotage,"2 (nos) 4"" Valves installed on pipe by unknown person (s)..",Third party,TBE,
2013/OS/374,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Kalatoru,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 32' 32.9'',E 005° 57' 38.9'',22/07/2013,22/07/2013,,9:30,,,,,Oil theft,Sabotage,"3"" Valve installed on pipe by unknown person (s)..",Third party,TBE,
2013/OS/375,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Kamborro,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 32' 53.1'',E 005° 56' 26.5'',23/07/2013,23/07/2013,,9:30,,,,,Oil theft,Sabotage,"6"" Valve installed on pipe by unknown person (s).",Third party,TBE,
2013/OS/377,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Oyeregbene,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 29' 52.2'',E 006° 04' 21.5'',24/07/2013,24/07/2013,,10:00,,,,,Oil theft,Sabotage,The cone of a previously repaired point was vandalized by unknown person (s)..,Third party,TBE,
2013/OS/379,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Mbikiba,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,"
N 04° 29' 26.6''","
E 006° 05' 13.3''",30/07/2013,30/07/2013,,13:00,,,,,Oil theft,Sabotage,"2 (nos) - 4"" Valves installed on pipe with pipe connection by unknown person (s)..",Third party,TBE,
2013/OS/382,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Baberegbene,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 31' 09.4'',E 006° 01' 16.0'',27/07/2013,27/07/2013,,16:17,,,,,Oil theft,Sabotage,"3"" Valve installed on pipe with hose connection by unknown person (s)..",Third party,TBE,
2013/OS/383,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Igbematoru,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,"
N 04° 32' 05.2''","
E 005° 59' 15.4''",27/07/2013,27/07/2013,,15:00,,,,,Oil theft,Sabotage,"2 (nos) - 2"" Valves installed on pipe with pipe connection by unknown person (s)..",Third party,TBE,
2013/OS/385,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Igbematoru,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,"
N 04° 32' 13.9''","
E 005° 58' 45.7''",29/07/2013,29/07/2013,,14:00,,,,,Oil theft,Sabotage,"2"" nipple & 2"" Valve installed on pipe with pipe connection by unknown person (s)..",Third party,TBE,
2013/OS/389,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Mbikiba,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 28' 54.9'',E 006° 05' 57.9'',31/07/2013,31/07/2013,,13:00,,,,,Oil theft,Sabotage,"3"" Valve installed on pipe by unknown person (s)..",Third party,TBE,
2013/OS/390,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Kalatoru,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 32' 35.1'',E 005° 57' 30.6'',1/8/2013,1/8/2013,,9:59,,,,,Oil theft,Sabotage,"4"" Valve installed on pipe by unknown personb (s)..",Third party,TBE,
2013/OS/391,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Kamborro,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 32' 51.8'',E 005° 56' 28.3'',1/8/2013,1/8/2013,,10:00,,,,,Oil theft,Sabotage,"3"" Valve installed on pipe by unknown person (s)..",Third party,TBE,
2013/OS/392,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Kamborro,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 32' 49.3'',E 005° 56' 36.2'',1/8/2013,1/8/2013,,12:20,,,,,Oil theft,Sabotage,"3"" Valve installed on pipe by unknown person (s)..",Third party,TBE,
2013/OS/394,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Mbikiba,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 28' 27.9'',E 006° 06' 37.9'',3/8/2013,3/8/2013,,10:05,,,,,Oil theft,Sabotage,"3"" Valve installed on pipe with hose connection by unknown person (s)..",Third party,TBE,
2013/OS/395,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Oyeregbene,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 29' 52.3'',E 006° 04' 21.4'',3/8/2013,3/8/2013,,10:00,,,,,Oil theft,Sabotage,Previously repaired oil theft point cut open by unknown person (s)..,Third party,TBE,
2013/OS/398,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Lagosgbene,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 28' 29.6'',E 006° 07' 50.9'',5/8/2013,5/8/2013,,12:24,,,,,Oil theft,Sabotage,"3"" Valve installed on pipe by unknown person (s)..",,TBE,
2013/OS/402,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Mbikiba,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 29' 21.8'',E 006° 05' 22.4'',6/8/2013,6/8/2013,,11:58,,,,,Oil theft,Sabotage,"3"" Valve installed on pipe with hose connection by unknown person (s)..",Third party,TBE,
2013/OS/403,,Oshie 6Ls flowline,FLOWLINE,Oshie,OSHIE,LAR,Ahoada West,Rivers State,N 05° 06' 05.0'',E 006° 29' 32.6'',7/8/2013,7/8/2013,,14:52,,,,,Hacksaw cut,Sabotage,,Third party,TBE,
2013/OS/410,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Igbematoru,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,"
N 04° 31' 35.0''","
E 006° 00' 26.9''",9/8/2013,9/8/2013,,10:20,,,,,Oil theft,Sabotage,"4"" & 3"" Valves installed on pipe by unknown person (s)..",Third party,TBE,
2013/OS/412,,"10"" HP Idu manifold - Idu Flowstation pipeline",PIPELINE (OIL),Idu,IDU,LAR,Ogba/Ndoni/Egbema,Rivers State,N 05° 15' 33.3'',E 006° 34' 35.9'',11/8/2013,11/8/2013,,17:08,,,,,Hacksaw cut,Sabotage,,Third party,TBE,
2013/OS/413,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Igbematoru,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 32' 13.2'',E 005° 58' 46.2'',11/8/2013,11/8/2013,,11:00,,,,,Oil theft,Sabotage,"3"" Valves installed on pipe by unknown person (s)..",,TBE,
2013/OS/415,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Igbematoru,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,"
N 04° 32' 05.3''","
E 005° 59' 16.9''",12/8/2013,12/8/2013,,13:20,,,,,Oil theft,Sabotage,"2 (nos) - 3"" Valves installed on pipe by unknown person (s)..",Third party,TBE,
2013/OS/418,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Kalatoru,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,"
N 04° 32' 35.4''","
E 005° 57' 28.5''",14/08/2013,14/08/2013,,15:40,,,,,TBD,TBD,,,TBE,
2013/OS/419,,"18"" Obama/Brass Pipeline",PIPELINE (OIL),Adikiama,BRASS TERMINAL,SAR,Nembe,Bayelsa State,N 04° 31' 14.4'',E 006° 15' 21.9'',15/08/2013,15/08/2013,,14:20,,,,,Oil theft,Sabotage,"3"" Valve installed on pipe by unknown person (s)..",Third party,TBE,
2013/OS/420,,Agwe 2 TBG flowline,FLOWLINE,Akri,AKRI,LAR,Oguta,Imo State,N 05° 37' 44.8'',E 006° 40' 05.5'',16/08/2013,16/08/2013,,15:27,,,,,Drilled hole,Sabotage,,Third party,TBE,
2013/OS/425,,"24"" Ogoda/Brass Pipeline",PIPELINE (OIL),Amurukeni,BRASS TERMINAL,LAR,Ogbia,Bayelsa State,N 04° 46' 44.1'',E 006° 26' 54.5'',20/08/2013,20/08/2013,,10:23,,,,,TBD,TBD,,,TBE,
2013/OS/426,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Baberegbene,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 30' 51.4'',E 006° 01' 44.6'',20/08/2013,20/08/2013,,12:00,,,,,Oil theft,Sabotage,"3"" Valve installed on pipe by unknown person(s)..",Third party,TBE,
2013/OS/428,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Igbematoru,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,"
N 04° 31' 34.2''","
E 006° 00' 27.7''",22/08/2013,22/08/2013,,10:30,,,,,Oil theft,Sabotage,"2 (nos) 3"" Valves installed on pipe with pipe connection by unknown person (s)..",Third party,TBE,
2013/OS/429,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Igbematoru,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 31' 34.1'',E 006° 00' 28.9'',22/08/2013,22/08/2013,,11:30,,,,,Oil theft,Sabotage,"4"" Vlave installed on pipe with pipe connection by unknown person (s).",Third party,TBE,
2013/OS/430,,"10"" Clough Creek/Tebidaba Pipeline",PIPELINE (OIL),Azuzuama,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 41' 38.2'',E 005° 55' 13.5'',22/08/2013,22/08/2013,,14:30,,,,,Oil theft,Sabotage,"3"" Valve installed on pipe with pipe connectuion by unknown person (s)..",Third party,TBE,
2013/OS/431,,"10"" Clough Creek/Tebidaba Pipeline",PIPELINE (OIL),Azuzuama,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,"
N 04° 40' 40.1''","
E 005° 54' 14.4''",22/08/2013,22/08/2013,,15:00,,,,,Oil theft,Sabotage,"2 (nos) 3"" Valves installed on pipe with pipe connection by unknown person (s)..",,TBE,
2013/OS/434,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Mansonkiri,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,"
N 04° 26' 20.6''","
E 006° 12' 25.0''",23/08/2013,23/08/2013,,11:35,,,,,Oil theft,Sabotage,"Previously repaired oil theft point cut open & 2 (nos) 3"" Valves installed on pipe by unknown person (s)..",Third party,TBE,
2013/OS/435,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Kalatoru,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,"
N 04° 32' 35.3''","
E 005° 57' 28.8''",23/08/2013,23/08/2013,,11:45,,,,,Oil theft,Sabotage,"2 (nos) 4"" Valves installed on pipe by unknown person (s)..",Third party,TBE,
2013/OS/438,,Mgbede 6T flowline,FLOWLINE,Mgbede,OB/OB,LAR,Ogba/Ndoni/Egbema,Rivers State,N 05° 27' 36.6'',E 006° 43' 14.7'',23/08/2013,23/08/2013,,14:45,,,,,Hacksaw cut,Sabotage,,Third party,TBE,
2013/OS/440,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Mansonkiri,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 26' 37.1'',E 006° 12' 07.0'',24/08/2013,24/08/2013,,11:35,,,,,Oil theft,Sabotage,"3"" Valve installed on pipe by unknown person (s)..",Third party,TBE,
2013/OS/441,,"10"" Clough Creek/Tebidaba Pipeline",PIPELINE (OIL),Azagbene,CLOUGH CREEK,SAR,Ekeremor,Bayelsa State,N 04° 48' 21.2'',E 005° 44' 06.6'',24/08/2013,24/08/2013,,11:52,,,,,Oil theft,Sabotage,"Previously repaired oil theft point cut open  & 3"" nipple installed on pipe by unknown person (s)..",Third party,TBE,
2013/OS/442,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Kamborro,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 32' 51.6'',E 005° 56' 28.6'',24/08/2013,24/08/2013,,11:45,,,,,Oil theft,Sabotage,"3"" Valve installed on pipe by unknown person (s)..",Third party,TBE,
2013/OS/443,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Igbematoru,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 31' 33.2'',E 006° 00' 28.4'',25/08/2013,25/08/2013,,10:20,,,,,Oil theft,Sabotage,"4"" Valve installed on pipe by unknown person (s)..",Third party,TBE,
2013/OS/444,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Lasukugbene,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 30' 32.3'',E 006° 02' 25.6'',26/08/2013,26/08/2013,,10:00,,,,,Oil theft,Sabotage,"Previously repaired oil theft point cut open & 3"" Valve installed on pipe by unknown person (s)..",Third party,TBE,
2013/OS/445,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Igbematoru,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 32' 13.5'',E 005° 58' 46.5'',26/08/2013,26/08/2013,,13:00,,,,,Oil theft,Sabotage,"2"" Valve installed on pipe with pipe connection by unknown person (s)..",Third party,TBE,
2013/OS/447,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Lasukugbene,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 31' 17.3'',E 006° 01' 03.4'',26/08/2013,26/08/2013,,10:00,,,,,Oil theft,Sabotage,"3"" Valve installed on pipe by unknown person (s)..",Third party,TBE,
2013/OS/449,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Elepa,TEBIDABA,SAR,Nembe,Bayelsa State,N 04° 27' 26.9'',E 006° 10' 31.0'',27/08/2013,27/08/2013,,13:00,,,,,Hacksaw cut,Sabotage,,Third party,TBE,
2013/OS/450,,"10"" Oshie/Ogoda Pipeline",PIPELINE (OIL),Idu-Ekpeye,OSHIE,LAR,Ahoada West,Rivers State,N 05° 06' 28.8'',E 006° 31' 58.0'',27/08/2013,27/08/2013,,13:25,,,,,Oil theft,Sabotage,Valve installed on pipe with pipe connection by unknown person (s)..,Third party,TBE,
2013/OS/453,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Oyeregbene,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 30' 27.9'',E 006° 02' 45.5'',28/08/2013,28/08/2013,,10:00,,,,,Oil theft,Sabotage,"2"" Valve installed on pipe with pipe connection by unknown person(s)..",Third party,TBE,
2013/OS/457,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Oyeregbene,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 29' 52.3'',E 006° 04' 21.3'',29/08/2013,29/08/2013,,15:00,,,,,Oil theft,Sabotage,"3"" Valve installed on pipe by unknown person (s)..",Third party,TBE,
2013/OS/464,,Obrikom 16Ss flowline,FLOWLINE,Omoku,OB/OB,LAR,Ogba/Ndoni/Egbema,Rivers State,N 05° 23' 07.7'',E 006° 37' 09.6'',3/9/2013,3/9/2013,,14:30,,,,,Hacksaw cut,Sabotage,,Third party,TBE,
2013/OS/467,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Kamborro,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 32' 34.5'',E 005° 56' 28.6'',3/9/2013,3/9/2013,,11:45,,,,,Oil theft,Sabotage,"3"" Valve installed on pipe by unknown person (s)..",Third party,TBE,
